Target,MSE,RMSE,R2,Mean_Actual,Mean_Predicted,Accuracy_vs_Mean (%)
D101330TT (Tem.outlet chamber),68.9155,8.3015,0.9199,67.01,67.08,99.89
D102265TIC_PV (Temp. inlet chamber),379.9761,19.493,0.9249,113.76,113.89,99.89
D102260TIC_CV (High press. Steam damper),133.7151,11.5635,0.8282,26.49,26.46,99.86
D102265TIC_CV (Low press. Steam damper),122.8686,11.0846,0.5963,16.79,16.71,99.52
D102266TIC (Main heater dehumidifier),6.3918,2.5282,0.8552,23.07,23.06,99.98
