Target,MSE,RMSE,R2,Mean_Actual,Mean_Predicted,Accuracy_vs_Mean (%)
D101330TT (Tem.outlet chamber),19.7136,4.44,0.9771,67.01,67.05,99.93
D102265TIC_PV (Temp. inlet chamber),99.5953,9.9797,0.9803,113.76,113.77,99.99
D102260TIC_CV (High press. Steam damper),29.998,5.477,0.9615,26.49,26.49,99.98
D102265TIC_CV (Low press. Steam damper),13.452,3.6677,0.9558,16.79,16.79,99.99
D102266TIC (Main heater dehumidifier),0.5868,0.766,0.9867,23.07,23.07,100.0
